ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
MODDII,ZOWIE G-SR-SE,Xtrfy K2 RGB,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,Xtrfy,Sennheiser,ZOWIE
MOTOR,unknown,Fnatic miniSTREAK,HyperX Cloud II,ASUS VG248QE,unknown,Fnatic,HyperX,ASUS
MSL,SteelSeries QcK Heavy,SteelSeries Apex M750 TKL,SteelSeries Arctis Pro,ZOWIE XL2546,SteelSeries,SteelSeries,SteelSeries,ZOWIE
MUTiRiS,Corsair MM350 Champion Series,HyperX Alloy Elite,HyperX Cloud II,ZOWIE XL2546K,Corsair,HyperX,HyperX,ZOWIE
MaKo,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro,ZOWIE XL2546S,Razer,Razer,Razer,ZOWIE
Magisk,VAXEE PA Y22,Razer Huntsman V2 TKL,Corsair HS80,ZOWIE XL2546,VAXEE,Razer,Corsair,ZOWIE
Maikelele,Razer Gigantus V2,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2540,Razer,Xtrfy,HyperX,ZOWIE
Maka,Artisan FX Hien Soft,Logitech G513,Logitech G Pro X Headset,ZOWIE XL2546 Divina Blue,Artisan,Logitech,Logitech,ZOWIE
Malibuca,Glorious XXL,SteelSeries Apex Pro TKL,SteelSeries Arctis 1,ASUS TUF VG259QM,Glorious,SteelSeries,SteelSeries,ASUS
Maluk3,SteelSeries QcK Large,SteelSeries Apex Pro,SteelSeries Arctis Pro,ZOWIE XL2546K,SteelSeries,SteelSeries,SteelSeries,ZOWIE
Mande,ZOWIE G-SR-SE Divina Pink,Ducky Miya Pro Sakura,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Ducky,HyperX,ZOWIE
Maniac,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
MarKE,Zowie G-SR-SE Rouge,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2540,Zowie,Razer,HyperX,ZOWIE
Marix,SteelSeries QcK Heavy,Corsair K65 TKL,beyerdynamic MMX 300,ZOWIE XL2546K,SteelSeries,Corsair,beyerdynamic,ZOWIE
Marksman,Logitech G640,Corsair K70 RGB,beyerdynamic DT 990 Pro,Alienware AW2518H,Logitech,Corsair,beyerdynamic,Alienware
MartinezSa,SteelSeries QcK+,Logitech G915 TKL,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Logitech,HyperX,ZOWIE
Martoz,SteelSeries QcK XXL,Razer Huntsman TE,SteelSeries Arctis Pro Wireless,Alienware AW2521H,SteelSeries,Razer,SteelSeries,Alienware
Marved,Artisan Hayate Otsu XSoft,Razer BlackWidow V3 TKL,Razer BlackShark V2,ZOWIE XL2540,Artisan,Razer,Razer,ZOWIE
Marz,unknown,Corsair K95 RGB PLATINUM,unknown,Alienware AW2518H,unknown,Corsair,unknown,Alienware
