ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
iDISBALANCE,Logitech G640,Logitech G Pro X Keyboard,Sennheiser GAME ZERO,ZOWIE XL2546K,Logitech,Logitech,Sennheiser,ZOWIE
iM,unknown,unknown,HyperX Cloud II,ZOWIE XL2546K,unknown,unknown,HyperX,ZOWIE
ibiza,ZOWIE G-SR-SE,Ducky One 2 Mini,Bose QuietComfort 20,Alienware AW2518H,ZOWIE,Ducky,Bose,Alienware
iiTzTimmy,Logitech G840 Shroud Edition,Higround Summit 65,Logitech G Pro X Headset Shroud Edition,ZOWIE XL2740,Logitech,Higround,Logitech,ZOWIE
imoRR,VAXEE PA OUTSET,HyperX Alloy FPS,HyperX Cloud II Wireless,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
innocent,ZOWIE G-SR-SE Dark Grey,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,ZOWIE,Logitech,Logitech,ASUS
innocents,unknown,unknown,ASTRO A40,Alienware AW2518H,unknown,unknown,ASTRO,Alienware
interz,Zowie G-SR-SE Rouge,Logitech G513,HyperX Cloud Alpha,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
isak,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
itsJerian,Custom Mousepad,Wooting 60 HE,HyperX Cloud Alpha,Alienware AW2521H,Custom,Wooting,HyperX,Alienware
jL,Razer Gigantus V2,Razer BlackWidow V3 Pro,SteelSeries Arctis 7,Alienware AW2518H,Razer,Razer,SteelSeries,Alienware
jR,ZOWIE G-SR-SE,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
jabbi,Razer Gigantus V2,Xtrfy K4 TKL RGB,Razer BlackShark V2 Pro,ZOWIE XL2546,Razer,Xtrfy,Razer,ZOWIE
jacobbb,unknown,unknown,SteelSeries Arctis Pro,Alienware AW2518H,unknown,unknown,SteelSeries,Alienware
jedqr,ZOWIE G-SR-SE,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
jemi,SteelSeries QcK+,Logitech G Pro X Keyboard,HyperX Cloud II,ASUS ROG SWIFT PG259QN,SteelSeries,Logitech,HyperX,ASUS
jkaem,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
jks,SteelSeries QcK Heavy,Logitech G715,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
jmqa,ZOWIE G-SR,HyperX Alloy FPS,Logitech G Pro X Headset,ZOWIE XL2540,ZOWIE,HyperX,Logitech,ZOWIE
jnt,SteelSeries QcK Heavy,Razer BlackWidow X Chroma Mercury,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Razer,HyperX,ZOWIE
joel,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,SteelSeries,Logitech,Logitech,ZOWIE
juanflatroo,Razer Gigantus V2,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,Razer,HyperX,HyperX,ZOWIE
junior,ZOWIE G-SR,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
k0nfig,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
k1to,VAXEE PA Black,Corsair K63,Corsair Void Pro White,ZOWIE XL2546K,VAXEE,Corsair,Corsair,ZOWIE
kNgV-,SteelSeries QcK Heavy,Razer Huntsman V2,Logitech G Pro X Headset,ZOWIE XL2540,SteelSeries,Razer,Logitech,ZOWIE
kRYSTAL,SteelSeries QcK Heavy,QPAD MK-80,HyperX Cloud II,ZOWIE XL2546,SteelSeries,QPAD,HyperX,ZOWIE
kRaSnaL,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
kabal,ZOWIE GTF-X,Razer Huntsman Mini,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
karrigan,SteelSeries QcK Heavy,SteelSeries Apex Pro Mini,SteelSeries Arctis Pro White,ZOWIE XL2540,SteelSeries,SteelSeries,SteelSeries,ZOWIE
keiz,ZOWIE G-SR,HyperX Alloy Origins,HyperX Cloud Alpha,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
keloqz,Logitech G640,Logitech G512,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
kennyS,Flicks kennyS,Logitech G513,Logitech G Pro X Wireless Headset,ZOWIE XL2546,Flicks,Logitech,Logitech,ZOWIE
keznit,ZOWIE G-SR,Razer Huntsman Mini,HyperX Cloud II Wireless,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
kiNgg,Lethal Gaming Gear Saturn,Varmilo VA87M Beijing Opera,HyperX Cloud II Gun Metal,ASUS TUF VG258QM,Lethal,Varmilo,HyperX,ASUS
kinqie,ZOWIE G-SR-SE Red,ASUS ROG Claymore,HyperX Cloud II,ZOWIE XL2546,ZOWIE,ASUS,HyperX,ZOWIE
koldamenta,Logitech G640,Logitech G512,Logitech G Pro X Headset,ASUS ROG XG258Q,Logitech,Logitech,Logitech,ASUS
kolor,unknown,Xtrfy K4 RGB,Sennheiser GSP 600,ZOWIE XL2540,unknown,Xtrfy,Sennheiser,ZOWIE
kory,Logitech G640,unknown,unknown,ZOWIE XL2546K,Logitech,unknown,unknown,ZOWIE
kreaz,SteelSeries QcK Heavy,Xtrfy K2 RGB White,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Xtrfy,HyperX,ZOWIE
kressy,ZOWIE G-SR,Ducky One 2,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,Ducky,Sennheiser,ZOWIE
kscerato,SteelSeries QcK Heavy,HyperX Alloy Origins,HyperX Cloud Orbit,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
kst,Fnatic DASH,Fnatic miniSTREAK,Fnatic REACT+,ZOWIE XL2546K,Fnatic,Fnatic,Fnatic,ZOWIE
kyuubii,Endgame Gear MPJ450 Sprout,Logitech G Pro X Keyboard,EPOS GSP 500,ZOWIE XL2546K,Endgame,Logitech,EPOS,ZOWIE
kyxsan,VAXEE PA ZYGEN,HyperX Alloy Origins Core,Logitech G Pro X Headset,ZOWIE XL2546K,VAXEE,HyperX,Logitech,ZOWIE
latto,Logitech G640,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546,Logitech,HyperX,HyperX,ZOWIE
lauNX,Logitech G640,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
leaf,Logitech G640,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546,Logitech,HyperX,HyperX,ZOWIE
leman,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
leo_drk,VAXEE PA FunSpark,HyperX Alloy Origins Core,HyperX Cloud Orbit S,ZOWIE XL2540,VAXEE,HyperX,HyperX,ZOWIE
letw1k3,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,SteelSeries,HyperX,ZOWIE
lollipop21k,SteelSeries QcK Heavy,Varmilo VA87M Summit,Sennheiser GSP 600,ZOWIE XL2540,SteelSeries,Varmilo,Sennheiser,ZOWIE
lowel,Gamesense Radar,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset,ZOWIE XL2546,Gamesense,Razer,Logitech,ZOWIE
lux,X-raypad Aqua Control+,Razer Huntsman Mini,Fallen Morcego Preto,ZOWIE XL2546K,X-raypad,Razer,Fallen,ZOWIE
lyr1c,ZOWIE G-SR-SE,Ducky One 2 Mini Pure White,Bose QuietComfort 20,ZOWIE XL2546,ZOWIE,Ducky,Bose,ZOWIE
m0NESY,SteelSeries QcK Heavy,Logitech G715,Logitech G Pro X Headset,ZOWIE XL2546 Divina Blue,SteelSeries,Logitech,Logitech,ZOWIE
mL7,Corsair MM500,Corsair K70 RGB MK.2,unknown,ZOWIE XL2546K,Corsair,Corsair,unknown,ZOWIE
maNkz,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
maden,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud II,ZOWIE XL2546,VAXEE,Logitech,HyperX,ZOWIE
magixx,Zowie G-SR-SE Rouge,Varmilo VA87M Summit,HyperX Cloud Alpha S,ZOWIE XL2546K,Zowie,Varmilo,HyperX,ZOWIE
malbsMd,VAXEE PA FunSpark,Corsair STRAFE,HyperX Cloud II,ZOWIE XL2546K,VAXEE,Corsair,HyperX,ZOWIE
malta,ZOWIE G-SR,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,Xtrfy,HyperX,ZOWIE
mantuu,SteelSeries QcK+,SteelSeries Apex Pro,HyperX Cloud II,ZOWIE XL2546,SteelSeries,SteelSeries,HyperX,ZOWIE
maty,unknown,unknown,Logitech G Pro X Headset,unknown,unknown,unknown,Logitech,unknown
matys,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
max,HyperX Fury S Speed Edition,unknown,unknown,ZOWIE XL2546K,HyperX,unknown,unknown,ZOWIE
mds,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
mertz,SteelSeries QcK Heavy,SteelSeries Apex M750 TKL,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,SteelSeries,HyperX,ZOWIE
meyern,ZOWIE G-SR,Razer BlackWidow V3 TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Razer,HyperX,ZOWIE
mezii,ZOWIE G-SR-SE,HyperX Alloy Origins Core,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,HyperX,Sennheiser,ZOWIE
mhL,Razer Goliathus Speed Cosmic,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
mimi,Logitech G640,Logitech G512,Logitech G Pro X Wireless Headset,AOC AG254FG,Logitech,Logitech,Logitech,AOC
mindfreak,VAXEE PA Summer22,HyperX Alloy Origins Core,unknown,ZOWIE XL2546K,VAXEE,HyperX,unknown,ZOWIE
mir,SteelSeries QcK Heavy,Ducky One 2 TKL White,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Ducky,HyperX,ZOWIE
mirbit,SteelSeries QcK Heavy,Ducky One 2 TKL,SteelSeries Arctis Pro,ZOWIE XL2546K,SteelSeries,Ducky,SteelSeries,ZOWIE
misutaaa,VAXEE PA Summer22,Razer Huntsman V2,Corsair HS80,ZOWIE XL2546K,VAXEE,Razer,Corsair,ZOWIE
mitch,HyperX Fury S Pro,Ducky One 2 Mini,Razer BlackShark V2 Pro,ZOWIE XL2540,HyperX,Ducky,Razer,ZOWIE
mixwell,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Logitech,Logitech,Logitech,AOC
mopoz,ZOWIE G-SR-SE Deep Blue,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
morelz,ZOWIE G-SR-SE Divina Blue,Logitech G513,Sennheiser GAME ZERO,ZOWIE XL2540,ZOWIE,Logitech,Sennheiser,ZOWIE
motm,ZOWIE G-SR,HyperX Alloy FPS,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,HyperX,Sennheiser,ZOWIE
mou,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,SteelSeries,Logitech,Logitech,ZOWIE
mouz,unknown,unknown,Sennheiser PC 360,ZOWIE XL2540,unknown,unknown,Sennheiser,ZOWIE
mwlky,Razer Gigantus V2,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,Razer,Logitech,HyperX,ZOWIE
mwzera,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,Fallen Morcego Preto,ZOWIE XL2546K,SteelSeries,HyperX,Fallen,ZOWIE
n0rb3r7,VAXEE PA FunSpark V2,Xtrfy K4 TKL RGB White,HyperX Cloud Alpha,ZOWIE XL2546K,VAXEE,Xtrfy,HyperX,ZOWIE
n0thing,SteelSeries QcK Heavy,HyperX Alloy Elite,Logitech G Pro X Headset Shroud Edition,Alienware AW2521H,SteelSeries,HyperX,Logitech,Alienware
nAts,ZOWIE G-SR,Razer Huntsman V2 TKL,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
nafany,VAXEE PA Summer22,SteelSeries Apex Pro TKL,HyperX Cloud Alpha S,ZOWIE XL2546,VAXEE,SteelSeries,HyperX,ZOWIE
nafen,Artisan Ninja FX Zero Soft,Custom Keyboard,Apple EarPods,ZOWIE XL2546K,Artisan,Custom,Apple,ZOWIE
nawwk,ZOWIE G-SR,HyperX Alloy FPS RGB,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,HyperX,Logitech,ZOWIE
neT,Logitech G640,Anne Pro 2,HyperX Cloud II,ZOWIE XL2546,Logitech,Anne,HyperX,ZOWIE
neaLaN,VAXEE PA FunSpark,Razer Huntsman V2 TKL,HyperX Cloud II,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
nexa,VAXEE PA Black,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset,ZOWIE XL2546,VAXEE,Logitech,Logitech,ZOWIE
ngiN,VAXEE PA Summer22,Razer BlackWidow V3 Pro,HyperX Cloud II,ZOWIE XL2540,VAXEE,Razer,HyperX,ZOWIE
nicoodoz,Fnatic DASH,Xtrfy K5 Compact RGB,HyperX Cloud II Gun Metal,ZOWIE XL2546 Divina Blue,Fnatic,Xtrfy,HyperX,ZOWIE
niko,SteelSeries QcK Heavy,Xtrfy K2 RGB,SteelSeries Arctis Pro,ZOWIE XL2546,SteelSeries,Xtrfy,SteelSeries,ZOWIE
nin9,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud Alpha,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
nitr0,VAXEE PA Winter 21,Custom Keyboard,HyperX Cloud II Wireless,ZOWIE XL2546K,VAXEE,Custom,HyperX,ZOWIE
npl,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
nqz,ZOWIE G-SR,HyperX Alloy FPS Pro,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,HyperX,Logitech,ZOWIE
nukkye,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Logitech,Logitech,Logitech,AOC
nyhrox,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Alienware AW2518H,SteelSeries,SteelSeries,Logitech,Alienware
nython,ZOWIE G-SR-SE Deep Blue,HyperX Alloy FPS,unknown,ZOWIE XL2546K,ZOWIE,HyperX,unknown,ZOWIE
oBo,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
oSee,Lethal Gaming Gear Saturn,Glorious GMMK Pro,beyerdynamic DT 1990 PRO,ZOWIE XL2546,Lethal,Glorious,beyerdynamic,ZOWIE
olofmeister,SteelSeries QcK Heavy,SteelSeries Apex Pro,SteelSeries Arctis Pro White,ZOWIE XL2546K,SteelSeries,SteelSeries,SteelSeries,ZOWIE
ops,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,Alienware AW2518H,Logitech,Logitech,Logitech,Alienware
oskar,VAXEE PA Winter 21,Cooler Master Storm Rapid-I,Sennheiser GAME ZERO,ZOWIE XL2546,VAXEE,Cooler,Sennheiser,ZOWIE
ottoNd,ZOWIE G-SR-SE Divina Blue,Logitech G513,Sennheiser PC 350,ZOWIE XL2540,ZOWIE,Logitech,Sennheiser,ZOWIE
pANcada,VAXEE PA FunSpark,Logitech G915 TKL,HyperX Cloud II,ZOWIE XL2546,VAXEE,Logitech,HyperX,ZOWIE
pAura,HyperX Fury S Pro,HyperX Alloy FPS Pro,Logitech G Pro X Wireless Headset,ZOWIE XL2546,HyperX,HyperX,Logitech,ZOWIE
paTiTek,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Logitech,Logitech,Logitech,AOC
pashaBiceps,SteelSeries QcK Heavy,SteelSeries Apex Pro,SteelSeries Arctis Pro White,ZOWIE XL2546K,SteelSeries,SteelSeries,SteelSeries,ZOWIE
paz,Zowie G-SR-SE Rouge,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,Zowie,HyperX,HyperX,ZOWIE
pesadelo,VAXEE PA ZYGEN,SteelSeries Apex Pro,HyperX Cloud Alpha,ZOWIE XL2546K,VAXEE,SteelSeries,HyperX,ZOWIE
phaze,ZOWIE G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
phr,ZOWIE G-SR-SE,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
phzy,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ASUS ROG SWIFT PG259QN,SteelSeries,HyperX,HyperX,ASUS
poizon,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
prt,SteelSeries QcK Heavy,SteelSeries Apex Pro,EPOS GSP 500,ZOWIE XL2546K,SteelSeries,SteelSeries,EPOS,ZOWIE
psalm,Artisan FX Hien Soft,unknown,unknown,ZOWIE XL2546K,Artisan,unknown,unknown,ZOWIE
pyth,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Logitech,Logitech,Logitech,AOC
rAge,Xtrfy GP1,Razer BlackWidow X Chroma Mercury,HyperX Cloud II,ZOWIE XL2546 Divina Blue,Xtrfy,Razer,HyperX,ZOWIE
raalz,unknown,unknown,unknown,ZOWIE XL2546K,unknown,unknown,unknown,ZOWIE
rain,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,SteelSeries Arctis Prime,ZOWIE XL2540,SteelSeries,SteelSeries,SteelSeries,ZOWIE
rallen,ZOWIE G-SR,Razer BlackWidow Chroma V2,HyperX Cloud Alpha,ZOWIE XL2540,ZOWIE,Razer,HyperX,ZOWIE
ramz1k,SteelSeries QcK Heavy,Razer BlackWidow X Chroma Mercury,HyperX Cloud Revolver S,ZOWIE XL2546,SteelSeries,Razer,HyperX,ZOWIE
realzin,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
refrezh,ZOWIE G-SR,HyperX Alloy FPS,Turtle Beach Elite Atlas Pro,ZOWIE XL2546K,ZOWIE,HyperX,Turtle,ZOWIE
regali,Razer Gigantus V2,Razer Huntsman V2,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
rhyme,ZOWIE G-SR-SE Deep Blue,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Xtrfy,HyperX,ZOWIE
rigoN,VAXEE PA FunSpark,Corsair K63,HyperX Cloud II Gun Metal,ZOWIE XL2546K,VAXEE,Corsair,HyperX,ZOWIE
rmn,SteelSeries QcK Heavy,unknown,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,unknown,HyperX,ZOWIE
rocker,Logitech G640,Razer Huntsman Mini,unknown,ASUS VG248QE,Logitech,Razer,unknown,ASUS
roeJ,Razer Gigantus V2,Fnatic STREAK65 LP,Razer BlackShark V2 Pro,ZOWIE XL2546K,Razer,Fnatic,Razer,ZOWIE
ropz,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,SteelSeries Arctis Pro White,ZOWIE XL2546K,SteelSeries,Razer,SteelSeries,ZOWIE
rox,ZOWIE G-SR,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
rpr,Artisan Ninja FX Zero Mid,Logitech G Pro Keyboard,Bose QuietComfort 20,Acer Predator XB272,Artisan,Logitech,Bose,Acer
ryujehong,SteelSeries QcK Heavy,Logitech G Pro Keyboard,Bose QuietComfort 20,ZOWIE XL2540,SteelSeries,Logitech,Bose,ZOWIE
s0m,SteelSeries QcK Large,Logitech G915,ROG Delta S Core,ZOWIE XL2546,SteelSeries,Logitech,ROG,ZOWIE
s1mple,Logitech G640 Black,Logitech G915 TKL White,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
s1n,Corsair MM350 Champion Series,Ducky One 2 Mini Pure White,Corsair Void Pro,ZOWIE XL2546K,Corsair,Ducky,Corsair,ZOWIE
s1ren,VAXEE PA P22,Logitech G Pro X Keyboard,unknown,ZOWIE XL2546K,VAXEE,Logitech,unknown,ZOWIE
sLowi,VAXEE PA OUTSET,Logitech G Pro X Keyboard,HyperX Cloud II,ASUS ROG SWIFT PG259QN,VAXEE,Logitech,HyperX,ASUS
sScary,ZOWIE G-SR,Logitech G Pro X Keyboard,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Logitech,HyperX,ZOWIE
saffee,ZOWIE G-SR,Wooting 60 HE,JBL Quantum One,ZOWIE XL2546K,ZOWIE,Wooting,JBL,ZOWIE
sausol,Razer Gigantus V2,unknown,unknown,ZOWIE XL2546K,Razer,unknown,unknown,ZOWIE
sdy,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
seangares,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud Alpha,ZOWIE XL2546,HyperX,HyperX,HyperX,ZOWIE
seb,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,Sennheiser GAME ONE,ZOWIE XL2540K,Artisan,SteelSeries,Sennheiser,ZOWIE
seized,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
sergej,Logitech G640,Logitech G915 TKL,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
sh1ro,ZOWIE G-SR,Logitech G915 TKL White,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
shalfey,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Alpha S,ZOWIE XL2546 Divina Blue,SteelSeries,HyperX,HyperX,ZOWIE
shinobi,SteelSeries QcK Heavy,Corsair K65 TKL,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Corsair,HyperX,ZOWIE
shokz,VAXEE PA ZYGEN,Ducky One 2 TKL,Logitech G Pro X Headset,ZOWIE XL2546K,VAXEE,Ducky,Logitech,ZOWIE
shox,Corsair MM350 Champion Series,Razer Huntsman V2,Corsair HS80,ZOWIE XL2546K,Corsair,Razer,Corsair,ZOWIE
shroud,Logitech G840 Shroud Edition,Logitech G Pro X Keyboard Shroud Edition,Logitech G Pro X Headset Shroud Edition,ASUS ROG Swift PG27AQN,Logitech,Logitech,Logitech,ASUS
shz,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
sinatraa,Logitech G640,Matrix x sinatraa Keyboard,JBL Quantum One,HP OMEN 24.5″,Logitech,Matrix,JBL,HP
sinnopsyy,Zowie G-SR-SE Rouge,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546,Zowie,Logitech,HyperX,ZOWIE
siuhy,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
sjuush,Zowie G-SR-SE Rouge,Xtrfy K4 TKL RGB,HyperX Cloud II,ZOWIE XL2546K,Zowie,Xtrfy,HyperX,ZOWIE
sk0R,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
skullz,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud Alpha,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
skywhywalker,unknown,Varmilo VA87M Beijing Opera,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,unknown,Varmilo,Logitech,ZOWIE
slaxz,Endgame Gear MPJ450 Sprout,Ducky One 2,Sennheiser GAME ZERO,ZOWIE XL2546,Endgame,Ducky,Sennheiser,ZOWIE
smooya,SteelSeries QcK+,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2540,SteelSeries,Logitech,HyperX,ZOWIE
snatchie,ZOWIE G-SR-SE Dark Grey,Ozone Gaming Strike Battle,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,Ozone,Sennheiser,ZOWIE
somebody,ZOWIE G-SR-SE TyLoo Edition,SteelSeries Apex Pro,HyperX Cloud Flight,ZOWIE XL2546K,ZOWIE,SteelSeries,HyperX,ZOWIE
soulcas,SteelSeries QcK Heavy,Custom Keyboard,HyperX Cloud II,Alienware AW2521H,SteelSeries,Custom,HyperX,Alienware
speed4k,ZOWIE G-SR-SE Dark Grey,HyperX Alloy Elite,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
stadodo,Corsair MM200,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,Corsair,Logitech,HyperX,ZOWIE
stanislaw,ZOWIE G-SR,HyperX Alloy FPS,Razer Kraken Pro V2,ZOWIE XL2546,ZOWIE,HyperX,Razer,ZOWIE
starxo,Xtrfy GP4 Street Blue,Logitech G Pro X Keyboard,HyperX Cloud II,ASUS ROG STRIX XG248Q,Xtrfy,Logitech,HyperX,ASUS
stavn,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,SteelSeries,HyperX,ZOWIE
stax,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546S,SteelSeries,Razer,Razer,ZOWIE
steel,SteelSeries QcK Heavy,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546,SteelSeries,Logitech,Logitech,ZOWIE
stellar,ZOWIE G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Ducky,HyperX,ZOWIE
sterling,ZOWIE G-SR-SE Red,Logitech G Pro Keyboard,Sennheiser HD 660S,ZOWIE XL2540,ZOWIE,Logitech,Sennheiser,ZOWIE
stfN,ZOWIE G-SR-SE Deep Blue,Sharkoon Skiller SGK3,beyerdynamic MMX 300,ZOWIE XL2540,ZOWIE,Sharkoon,beyerdynamic,ZOWIE
stormen,SteelSeries QcK XXL,Ducky One 2 TKL,unknown,ASUS ROG SWIFT PG258Q,SteelSeries,Ducky,unknown,ASUS
suNny,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,VAXEE,Logitech,Logitech,ASUS
