ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
ethos,Alan Ruan,23,20-24,1999-05-02,United States,NA,NRG,VALORANT,3.18,Logitech G303 Shroud Edition,Logitech,0.69,1000.0,400.0,877.6800000000001,VAXEE PA ZYGEN,Custom Keyboard,HyperX Cloud II,ZOWIE XL2546,VAXEE,Custom,HyperX,ZOWIE
Zyppan,Pontus Eek,20,20-24,2002-07-17,Sweden,EU,Natus Vincere,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.3,1000.0,800.0,763.2,Zowie G-SR-SE Rouge,unknown,unknown,unknown,Zowie,unknown,unknown,unknown
nukkye,Žygimantas Chmieliauskas,25,25-29,1997-11-05,Lithuania,EU,Giants,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.175,1000.0,1600.0,890.4000000000001,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,AOC AG251FZ2E,Logitech,Logitech,Logitech,AOC
benjyfishy,Benjy Fish,18,15-19,2004-04-02,United Kingdom,EU,Content Creator,VALORANT,3.18,Razer Viper V2 Pro,Razer,0.283,1000.0,800.0,719.952,Gamesense Radar,Wooting 60 HE,beyerdynamic DT 700 PRO X,HP OMEN 24.5″,Gamesense,Wooting,beyerdynamic,HP
dgzin,Douglas Silva,22,20-24,2000-07-06,Brazil,SA,FURIA,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.35,1000.0,400.0,445.20000000000005,SkyPAD 3.0,HyperX Alloy Origins Core,unknown,ZOWIE XL2546K,SkyPAD,HyperX,unknown,ZOWIE
BuZz,Yu Byung-chul,19,15-19,2003-01-13,South Korea,AS,DRX,VALORANT,3.18,ZOWIE S2,ZOWIE,0.57,1000.0,400.0,725.04,X-raypad Aqua Control+,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ZOWIE XL2546K,X-raypad,Razer,Razer,ZOWIE
keznit,Angelo Mori,21,20-24,2001-08-14,Chile,SA,Leviatan,VALORANT,3.18,Logitech G703,Logitech,0.346,1000.0,800.0,880.2239999999999,ZOWIE G-SR,Razer Huntsman Mini,HyperX Cloud II Wireless,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
nAts,Ayaz Akhmetshin,20,20-24,2002-07-01,Russia,EU,Team Liquid,VALORANT,3.18,ZOWIE S2,ZOWIE,0.49,1000.0,800.0,1246.5600000000002,ZOWIE G-SR,Razer Huntsman V2 TKL,HyperX Cloud Alpha S,ZOWIE XL2546K,ZOWIE,Razer,HyperX,ZOWIE
iiTzTimmy,Timmy An,22,20-24,2000-04-19,United States,NA,Content Creator,Apex,1.0,Logitech G Pro X Superlight,Logitech,1.1,1000.0,1800.0,1980.0000000000002,Logitech G840 Shroud Edition,Higround Summit 65,Logitech G Pro X Headset Shroud Edition,ZOWIE XL2740,Logitech,Higround,Logitech,ZOWIE
f0rsakeN,Jason Susanto,18,15-19,2004-03-25,Indonesia,AS,Paper Rex,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.652,1000.0,800.0,1658.688,Logitech G740,HyperX Alloy Origins Core,HyperX Cloud II,ZOWIE XL2546K,Logitech,HyperX,HyperX,ZOWIE
