ign,mouse,mouse_brand,sense,hz,dpi,edpi
Freeman,ZOWIE FK1,ZOWIE,2.2,1000.0,400.0,880.0000000000001
Walco,Logitech G Pro X Superlight,Logitech,1.55,1000.0,400.0,620.0
steel,SteelSeries Sensei Ten,SteelSeries,1.6,1000.0,400.0,640.0
JamYoung,ZOWIE EC2,ZOWIE,2.2,1000.0,400.0,880.0000000000001
MAJ3R,Logitech G Pro X Superlight,Logitech,1.8,1000.0,400.0,720.0
wiz,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
malta,ZOWIE EC2-B Divina Pink,ZOWIE,2.0,1000.0,400.0,800.0
tenzki,Razer Deathadder V3 Pro,Razer,1.8,1000.0,400.0,720.0
Nifty,Logitech G Pro X Superlight,Logitech,2.2,500.0,400.0,880.0000000000001
Maniac,Logitech G Pro X Superlight,Logitech,1.05,1000.0,800.0,840.0
stanislaw,Razer Viper Ultimate,Razer,2.5,1000.0,400.0,1000.0
JDC,Logitech G Pro X Superlight,Logitech,2.1,1000.0,400.0,840.0
Buzz,Logitech G Pro X Superlight,Logitech,0.42,1000.0,2300.0,966.0
meyern,ZOWIE EC1-B,ZOWIE,2.5,1000.0,400.0,1000.0
v1c7oR,Logitech G Pro X Superlight,Logitech,0.64,1000.0,800.0,512.0
h4rn,VAXEE ZYGEN NP-01,VAXEE,2.05,1000.0,400.0,819.9999999999999
REDSTAR,VAXEE ZYGEN NP-01S Glossy,VAXEE,2.0,1000.0,400.0,800.0
speed4k,ZOWIE EC2-A,ZOWIE,2.0,1000.0,400.0,800.0
